Date,Open*,High,Low,Close**,Volume,Market Cap,Averages,Price in SATS,Bitcoin Price
17-Feb-19,7.96,8.72,7.95,8.39,"258,499,649","545,230,967",8.335,0.001577102,"3,649.86"
16-Feb-19,8.11,8.3,7.93,7.96,"173,410,185","517,689,602",8.115,0.000838103,"3,634.06"
15-Feb-19,7.96,8.38,7.9,8.13,"164,623,226","528,755,366",8.14,0.002297284,"3,628.01"
14-Feb-19,8.28,8.28,7.84,7.95,"147,559,333","516,765,560",8.06,0.000942294,"3,626.98"
13-Feb-19,8.26,8.46,8.22,8.3,"159,400,724","539,727,161",8.34,0.001620339,"3,643.50"
12-Feb-19,8.13,8.43,7.98,8.25,"191,455,559","536,226,580",8.205,0.001274889,"3,643.58"
11-Feb-19,7.99,8.26,7.77,8.13,"180,322,479","528,362,887",8.015,0.000803495,"3,668.95"
10-Feb-19,7.67,7.98,7.59,7.96,"159,699,885","517,438,261",7.785,0.000823924,"3,668.01"
9-Feb-19,7.6,7.74,7.52,7.66,"122,279,806","498,134,612",7.63,0.001898317,"3,663.25"
8-Feb-19,6.92,7.72,6.89,7.6,"161,363,179","494,187,454",7.305,0.001362418,"3,543.32"
7-Feb-19,6.88,6.98,6.86,6.92,"98,062,942","449,883,575",6.92,0.000841979,"3,411.09"
6-Feb-19,7.08,7.09,6.82,6.86,"113,960,942","445,958,917",6.955,0.001046164,"3,433.83"
5-Feb-19,7.07,7.18,7.06,7.07,"112,713,128","459,642,249",7.12,0.001827757,"3,465.05"
4-Feb-19,7.01,7.14,6.99,7.09,"104,145,001","460,594,124",7.065,0.00110134,"3,459.41"
3-Feb-19,7.23,7.23,6.97,7.02,"113,281,405","456,476,196",7.1,0.000876726,"3,484.66"
2-Feb-19,7.02,7.25,6.94,7.23,"118,178,032","469,944,267",7.095,0.000899497,"3,495.43"
1-Feb-19,6.93,7.06,6.82,7.03,"110,514,792","457,113,160",6.94,0.001781669,"3,466.77"
31-Jan-19,7.11,7.18,6.85,6.93,"126,570,197","450,552,499",7.015,0.001337019,"3,476.36"
30-Jan-19,7.03,7.13,6.91,7.11,"127,490,778","462,269,051",7.02,0.000952711,"3,462.28"
29-Jan-19,7.02,7.13,6.79,7.05,"128,674,508","458,435,139",6.96,0.001937321,"3,438.45"
28-Jan-19,7.43,7.44,6.88,6.98,"138,166,064","453,945,209",7.16,0.001065996,"3,512.99"
27-Jan-19,7.54,7.59,7.29,7.42,"120,602,207","482,255,538",7.44,0.000794651,"3,589.96"
26-Jan-19,7.59,7.7,7.5,7.53,"93,847,643","489,725,391",7.6,0.001295869,"3,624.14"
